responsive-image src,sr-only,product-tile__details__info__name__link href,product-name__item,product-name__item 3,price__value,price__value 2,price__unit 2
https://assets.shop.loblaws.ca/products_jpeg/20987520/en/20987520_sml_1_@1x.jpg,Crème Tin,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Personal-Care/Skin-Care/Facial-Skin-Care/Nivea-Cr%C3%A8me-Tin/p/20987520_EA,Nivea,30 mL,$1.48 ,$4.93 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/20688655/en/20688655_sml_1_@1x.jpg,Olive Oil Protection Serum,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Beauty/Hair-Care/Hair-Accessories/Olive-Oil-Protection-Serum/p/20688655_EA,Ors,177 mL,$11.99 ,$6.77 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/21046925/en/21046925_sml_1_@1x.jpg,Adult Glycerin,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Medicine-%26-Health/Digestion-%26-Nausea/Antacid-Liquid/Colace-Adult-Glycerin/p/21046925_EA,,48 ea,$11.28 ,$0.24 ,/ 1ea
https://assets.shop.loblaws.ca/products_jpeg/21045408/en/21045408_sml_1_@1x.jpg,"Hair Expertise, Colour Radiance Shampoo",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Beauty/Hair-Care/Conditioners/LOreal-Paris-HAIR-EXPERTISE-Hair-Expertise%2C-Colour-Radiance-Shampoo/p/21045408_EA,LOreal Paris,828 mL,$9.98 ,$1.21 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/21182861/en/21182861_sml_1_@1x.jpg,Betadine Antiseptic Cream,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Medicine-%26-Health/First-Aid/Itch-%26-Rash/Betadine-Betadine-Antiseptic-Cream/p/21182861_EA,Betadine,15 g,$9.98 ,$66.53 ,/ 100g
https://assets.shop.loblaws.ca/products_jpeg/20326304006/en/20326304006_sml_1_@1x.jpg,"Lashblast Mascara, Black/Brown",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Beauty/Cosmetics/Eyes/Lashblast-Mascara%2C-Black-Brown/p/20326304006_EA,Cover Girl,13.10 mL,$8.47 ,$0.65 ,/ 1ea
https://assets.shop.loblaws.ca/products_jpeg/21157290/en/21157290_sml_1_@1x.jpg,Ultra Calming Make Up Remover Wipes,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Personal-Care/Skin-Care/Facial-Skin-Care/Aveeno-ULTRA-CALMING-Ultra-Calming-Make-Up-Remover-Wipes/p/21157290_EA,Aveeno,25 ea,$10.48 ,$0.42 ,/ 1ea
https://assets.shop.loblaws.ca/products_jpeg/20688737/en/20688737_sml_1_@1x.jpg,Extra Nourishing Body Milk,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Personal-Care/Skin-Care/Hand-%26-Foot-Care/Extra-Nourishing-Body-Milk/p/20688737_EA,Nivea,625 mL,$8.98 ,$1.44 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/20689099/en/20689099_sml_1_@1x.jpg,"Baby Tearless Shampoo & Body Wash, Travel Size",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Beauty/Hair-Care/Shampoos/Baby-Tearless-Shampoo-%26-Body-Wash%2C-Travel-Size/p/20689099_EA,Live Clean,24x60mL,$1.78 ,$0.12 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/20688854/en/20688854_sml_1_@1x.jpg,SOS Repair & Care Body Lotion,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Personal-Care/Skin-Care/Body-Care/SOS-Repair-%26-Care-Body-Lotion/p/20688854_EA,Nivea,625 mL,$8.98 ,$1.44 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/21001998/en/21001998_sml_1_@1x.jpg,Sheer Volume Conditioner,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Beauty/Hair-Care/Conditioners/Pantene-PRO-V-Sheer-Volume-Conditioner/p/21001998_EA,Pantene,855 mL,$12.28 ,$1.44 ,/ 100mL
https://assets.shop.loblaws.ca/products_jpeg/21181943004/en/21181943004_sml_1_@1x.jpg,Undercover Concealer Perfect Beige,https://www.realcanadiansuperstore.ca/Health-%26-Beauty/Beauty-Products/Cosmetics/Face/Concealers-%26-Neutralizers/Cover-Girl-Undercover-Concealer-Perfect-Beige/p/21181943004_EA,Cover Girl,1 ea,$11.98 ,,
