sr-only,product-tile__details__info__name__link href,product-name__item,product-name__item 3,price__value,price__unit,price__value 2,price__unit 2,product-badge__icon__text,product-badge__text,product-badge__icon__expiry
Grilled Wet Cat Food Variety Pack,https://www.realcanadiansuperstore.ca/Pet-Supplies/Cats/Food/Wet-Food/Purina-FANCY-FEAST-Grilled-Wet-Cat-Food-Variety-Pack/p/21235467_C01,Purina,2.04 kg,$14.98 ,c01,$0.73 ,/ 100g,,,
"Nutrition First, Grain Free Biscuit for Skin & Coat",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Dog-Treats/Nutrition-First%2C-Grain-Free-Biscuit-for-Skin-%26-Coat/p/20635696_EA,President's Choice,454 g,$7.98 ,ea,$1.76 ,/ 100g,,,
"Dura Play Ball, Medium",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Apparel-%26-Accessories/Hartz-DURA-PLAY-Dura-Play-Ball%2C-Medium/p/20807495_EA,Hartz,1 ea,$4.48 ,ea,,,multi,$4.00 MIN 2,
"Extra Meaty Adult Dry Dog Food, Beef & Rice",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Food-%26-Treats/President's-Choice-Extra-Meaty-Adult-Dry-Dog-Food%2C-Beef-%26-Rice/p/20794001_EA,President's Choice,16 kg,$32.98 ,ea,$0.21 ,/ 100g,,,
Balanced Nutrition Dog Food,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Food-%26-Treats/Balanced-Nutrition-Dog-Food/p/20149498001_EA,No Name,8 kg,$12.48 ,ea,$0.16 ,/ 100g,,,
"Dry Cat Food, Indoor Advantage",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Cat-Food-%26-Accessories/Food-%26-Treats/Purina-ONE-Dry-Cat-Food%2C-Indoor-Advantage/p/21166641_C01,Purina,7.20 kg,$26.98 ,c01,$0.37 ,/ 100g,sale,SAVE $3.00,Ends 04/15
Nutrition First Lamb & Brown Rice Premium Adult Dry Dog Food,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Food-%26-Treats/Nutrition-First-Lamb-%26-Brown-Rice-Premium-Adult-Dry-Dog-Food/p/20053541_EA,President's Choice,13.50 kg,$44.98 ,ea,$0.33 ,/ 100g,,,
"Dog Treats, Bacon Snacks",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Food-%26-Treats/Beggin-Strips-BEGGIN-Dog-Treats%2C-Bacon-Snacks/p/21104032_EA,Beggin Strips,1.13 kg,$19.99 ,ea,$1.77 ,/ 100g,,,
WHISKAS Perfect PORTIONS Cuts in Gravy Chicken & Tuna Selections Wet CAT Food,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Cat-Food-%26-Accessories/Food-%26-Treats/Whiskas-WHISKAS-Perfect-PORTIONS-Cuts-in-Gravy-Chicken-%26-Tuna-Selections-Wet-CAT-Food/p/21011732_EA,Whiskas,900 g,$9.48 ,ea,$1.05 ,/ 100g,,,
Pedigree Dentastix Small Beef Dog Treats,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Food-%26-Treats/Pedigree-Pedigree-Dentastix-Small-Beef-Dog-Treats/p/21081152_EA,Pedigree,553 g,$8.98 ,ea,$1.62 ,/ 100g,sale,SAVE $1.50,Ends 04/15
UltraGuard Reflecting Flea & Tick Collar for Cats & Kittens,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Cat-Food-%26-Accessories/Flea-%26-Tick/UltraGuard-Reflecting-Flea-%26-Tick-Collar-for-Cats-%26-Kittens/p/20321730001_EA,Hartz,1 ea,$5.48 ,ea,,,,,
24/7 Performance Lightweight Cat Litter for Multiple Cats,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Cat-Food-%26-Accessories/Litter-%26-Litter-Box/Tidy-Cats-TIDY-CATS-24-7-Performance-Lightweight-Cat-Litter-for-Multiple-Cats/p/20913423_C01,Tidy Cats,7.71 kg,$23.98 ,ea,$0.31 ,/ 100g,,,
Lil' Soups with Tuna in a Velvety Chicken Broth Cat Food Complement,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Cat-Food-%26-Accessories/Food-%26-Treats/Friskies-Lil'-Soups-with-Tuna-in-a-Velvety-Chicken-Broth-Cat-Food-Complement/p/21166052_EA,Friskies,34 g,$1.25 ,ea,$3.68 ,/ 100g,sale,SAVE $0.23,Ends 04/15
Chew-eez Dog Treats,https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Dog-Treats/Purina-ALPO-Chew-eez-Dog-Treats/p/20947584_EA,Purina,454 g,$11.98 ,ea,$2.64 ,/ 100g,,,
"ActivFresh, Dental Dog Treats for Medium Breed Dogs",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Dog-Food-%26-Accessories/Food-%26-Treats/Purina-DENTALIFE-ActivFresh%2C-Dental-Dog-Treats-for-Medium-Breed-Dogs/p/21165852_EA,Purina,172 g,$3.98 ,ea,$2.31 ,/ 100g,multi,$3.50 MIN 2,
"Grain Free Natural Dry Cat Food, Ocean Whitefish & Egg",https://www.realcanadiansuperstore.ca/Home-%26-Lifestyle/Pet-Food-%26-Accessories/Cat-Food-%26-Accessories/Food-%26-Treats/Beyond-The-Pale-BEYOND-Grain-Free-Natural-Dry-Cat-Food%2C-Ocean-Whitefish-%26-Egg/p/21166050_EA,,2.26 kg,$25.98 ,ea,$1.15 ,/ 100g,,,
